instrument,ID,x0,y0,raft,sensor,hyeyun_orientation,orientation,orientation_2
E2V,R24_S01,-512.5907404116176,-590.647387301677,R24,S01,1,2,2.0
E2V,R24_S02,-575.6020378615709,-597.7152185614895,R24,S02,1,2,2.0
E2V,R24_S21,4423.709015363926,-580.5875831511785,R24,S21,4,1,1.0
E2V,R24_S22,-360.51682686988437,4404.253912430946,R24,S22,2,2,2.0
E2V,R24_S10,-436.3175524842701,-541.7234500212462,R24,S10,1,2,2.0
E2V,R24_S11,4507.4783013883525,-612.5273719460861,R24,S11,4,1,1.0
E2V,R24_S20,4426.311754639449,-561.0278708655118,R24,S20,4,3,3.0
ITL,R03_S12,4252.798925306848,4284.216153618489,R03,S12,3,3,3.0
ITL,R03_S00,-111.32883646143557,-145.90829626283653,R03,S00,1,-1,
ITL,R03_S01,4238.056591213536,-418.1692635940335,R03,S01,4,1,1.0
ITL,R03_S02,4244.8625651276325,4111.186085798486,R03,S02,3,3,3.0
ITL,R03_S21,4191.270566063817,-316.8918489373583,R03,S21,4,1,1.0
ITL,R03_S22,4206.625408056172,4132.904697795908,R03,S22,3,3,3.0
ITL,R03_S10,4160.71750333487,-367.9846793288416,R03,S10,4,1,1.0
ITL,R03_S11,4170.321681027503,-372.58737223930234,R03,S11,4,1,1.0
ITL,R03_S20,4418.198132802525,4282.652639662195,R03,S20,3,3,3.0
ITL,R42_S12,-110.214222729212,4236.735512937083,R42,S12,2,4,
ITL,R42_S00,-254.01248906797878,-211.72437277378503,R42,S00,1,2,
ITL,R42_S01,-163.14973343685233,-169.93261033132217,R42,S01,1,2,
ITL,R42_S02,4269.402051657867,-280.47352740466954,R42,S02,4,1,
ITL,R42_S21,4344.278711115336,4329.906780510945,R42,S21,3,3,
ITL,R42_S22,-168.2010215885482,-185.43315551303954,R42,S22,1,2,
ITL,R42_S10,-143.6261107461371,4351.786007405983,R42,S10,2,-1,
ITL,R42_S11,-103.74465550241098,4306.700848311772,R42,S11,2,4,
ITL,R42_S20,-305.9434817355809,4151.809539361428,R42,S20,2,4,
